gene	cluster	cell_type	auc	wilcox_pvalue	ttest_pvalue	pct_nonzero	pct_nonzero_other	log2FC	
250	TMC8	C-T1	T cell	0.555672513	0.00067954	0.574471763	0.603351955	0.624387255	0.146680274
251	COL1A2	C-T1	T cell	0.546913511	0.001116542	0.01895749	0.38547486	0.34620098	0.621512198
252	EGR1	C-T1	T cell	0.543884872	0.003853496	0.030415899	0.455307263	0.420955882	0.628171987
253	PRG4	C-T1	T cell	0.542275989	0.00839716	0.064039411	0.558659218	0.542279412	0.64211254
254	TXNIP	C-T1	T cell	0.540621748	0.014328878	0.497539409	0.675977654	0.6875	0.186279219
255	AAK1	C-T1	T cell	0.539734295	0.007916631	0.367087054	0.396648045	0.405637255	0.227504307
256	CD4	C-T1	T cell	0.539663264	0.013229582	0.131042473	0.561452514	0.534926471	0.421256644
257	COL1A1	C-T1	T cell	0.53929014	0.003380446	0.013579066	0.324022346	0.275122549	0.632844257
258	JUN	C-T1	T cell	0.538319675	0.022223068	0.714705907	0.754189944	0.78247549	0.101426684
259	LTB	C-T1	T cell	0.538164777	0.020806077	0.704080426	0.636871508	0.662377451	0.108662939
260	GOLGA8B	C-T1	T cell	0.537504964	0.02010282	0.924063036	0.533519553	0.569852941	-0.025057089
261	PABPC1	C-T2	T cell	0.781459518	1.43E-93	4.43E-53	0.987987988	0.935800604	1.495815633
262	YPEL5	C-T2	T cell	0.777004913	9.63E-92	1.61E-92	0.95045045	0.682779456	3.368086719
263	ZNF331	C-T2	T cell	0.752993363	1.40E-78	2.93E-97	0.911411411	0.556646526	4.159185841
264	TPT1	C-T2	T cell	0.752813614	7.49E-76	6.30E-59	1	0.984138973	0.942749493
265	SLC2A3	C-T2	T cell	0.747289019	2.24E-74	8.74E-66	0.89039039	0.623111782	3.207276227
266	TMEM66	C-T2	T cell	0.737403945	3.23E-67	3.22E-55	0.972972973	0.834592145	2.029141552
267	RPS8	C-T2	T cell	0.726878691	1.87E-61	7.08E-46	0.992492492	0.932779456	1.297218125
268	RPLP2	C-T2	T cell	0.723124938	1.72E-59	2.04E-37	0.995495495	0.979607251	0.825701143
269	RPS6	C-T2	T cell	0.720190546	5.52E-58	1.06E-46	1	0.984138973	0.776369163
270	CCR7	C-T2	T cell	0.718685642	2.21E-73	5.93E-67	0.651651652	0.259818731	3.856625509
271	IRS2	C-T2	T cell	0.716771341	6.01E-83	1.09E-71	0.587087087	0.169939577	3.774576432
272	IL7R	C-T2	T cell	0.716657367	4.50E-57	3.34E-81	0.941441441	0.651812689	3.572868432
273	SC5D	C-T2	T cell	0.713104343	8.20E-72	1.11E-62	0.623123123	0.244712991	3.578399829
274	GPR183	C-T2	T cell	0.712836137	4.99E-65	4.27E-60	0.686186186	0.325528701	3.674386242
275	CREM	C-T2	T cell	0.711869914	1.66E-55	2.66E-74	0.899399399	0.576283988	3.469026871
276	RPL11	C-T2	T cell	0.707300768	1.34E-51	2.06E-36	0.996996997	0.966012085	0.890958775
277	RPL34	C-T2	T cell	0.706942403	1.99E-51	5.09E-40	0.998498498	0.980362538	0.771565445
278	ZBTB10	C-T2	T cell	0.704293228	2.06E-71	3.74E-62	0.582582583	0.197885196	3.547837444
279	RPS12	C-T2	T cell	0.701688849	6.13E-49	2.09E-45	1	0.973564955	0.914839481
280	JUND	C-T2	T cell	0.698984105	1.09E-47	6.51E-46	0.993993994	0.928247734	1.352176671
281	FOXP3	C-T3	T cell	0.915164948	5.29E-115	5.39E-22	0.88	0.048453608	7.578956146
282	TIGIT	C-T3	T cell	0.813572165	2.43E-18	9.23E-17	0.9	0.359278351	5.229792687
283	IKZF2	C-T3	T cell	0.808551546	1.76E-30	1.58E-12	0.74	0.15257732	5.481708588
284	DUSP4	C-T3	T cell	0.800123711	1.62E-17	4.74E-12	0.82	0.33814433	5.192442749
285	CTLA4	C-T3	T cell	0.76721134	1.30E-18	3.85E-10	0.72	0.21443299	4.712671874
286	ARID5B	C-T3	T cell	0.760551546	3.79E-11	1.16E-11	0.9	0.539175258	3.853701311
287	STK17B	C-T3	T cell	0.733958763	1.38E-08	2.72E-08	0.96	0.809278351	2.08481394
288	PELI1	C-T3	T cell	0.731670103	7.01E-14	6.47E-08	0.66	0.228350515	3.893644875
289	F5	C-T3	T cell	0.725670103	6.41E-37	1.09E-07	0.5	0.054639175	3.87270748
290	RGS1	C-T3	T cell	0.724510309	3.33E-08	6.70E-25	1	0.667525773	3.927141571
291	PKM	C-T3	T cell	0.720505155	2.68E-08	5.86E-07	0.84	0.560309278	2.926847638
292	CD4	C-T3	T cell	0.714737113	4.62E-08	1.15E-09	0.88	0.530927835	3.528393139
293	ENTPD1	C-T3	T cell	0.708768041	6.54E-26	6.83E-07	0.48	0.073195876	3.57720984
294	YWHAB	C-T3	T cell	0.703319588	8.68E-07	7.96E-18	1	0.88556701	1.682036371
295	IL32	C-T3	T cell	0.700448454	9.22E-07	3.33E-06	0.9	0.703608247	2.503608191
296	IKZF4	C-T3	T cell	0.696835052	2.15E-27	1.18E-06	0.46	0.058762887	3.169227223
297	BIRC3	C-T3	T cell	0.692206186	2.59E-06	4.79E-10	0.96	0.710824742	2.857514286
298	AC013394.2	C-T3	T cell	0.690572165	2.41E-06	1.17E-05	0.86	0.63814433	2.370335865
299	GBP2	C-T3	T cell	0.688747423	8.32E-07	2.95E-05	0.74	0.471134021	2.739636059
300	SNX9	C-T3	T cell	0.688412371	3.68E-10	8.67E-06	0.56	0.212886598	3.144897569
301	CXCL13	C-T4	T cell	0.851532855	7.11E-126	2.01E-19	0.732394366	0.038561751	7.503667741
302	RNF19A	C-T4	T cell	0.806949042	1.66E-20	3.77E-22	0.929577465	0.517978114	4.425312183
303	DUSP4	C-T4	T cell	0.792306733	8.13E-23	2.57E-16	0.816901408	0.33298593	5.080754377
304	PDCD1	C-T4	T cell	0.791642507	3.32E-37	7.09E-16	0.718309859	0.15059927	4.945979361
305	TOX2	C-T4	T cell	0.776512121	4.77E-46	2.77E-14	0.647887324	0.096404377	4.710867296
306	MAF	C-T4	T cell	0.768970781	2.05E-16	2.51E-11	0.816901408	0.4945284	4.011063353
307	CTLA4	C-T4	T cell	0.759583557	3.74E-24	1.30E-12	0.690140845	0.210005211	4.586922044
308	TSHZ2	C-T4	T cell	0.757491798	1.76E-27	3.99E-13	0.676056338	0.168316832	4.570498171
309	TIGIT	C-T4	T cell	0.738555879	3.38E-15	4.41E-12	0.774647887	0.357998958	3.959831898
310	SNX9	C-T4	T cell	0.736280633	1.22E-20	5.30E-11	0.647887324	0.205836373	3.928953714
311	PTPN13	C-T4	T cell	0.734295298	1.54E-44	1.14E-10	0.521126761	0.067222512	4.190732929
312	NR3C1	C-T4	T cell	0.732273264	5.63E-12	5.48E-12	0.887323944	0.584158416	3.24759443
313	ITM2A	C-T4	T cell	0.727664056	1.36E-11	1.82E-12	0.887323944	0.578426264	3.226482276
314	FKBP5	C-T4	T cell	0.723363107	2.05E-12	2.03E-10	0.788732394	0.431995831	3.449518534
315	TP53INP1	C-T4	T cell	0.722871361	8.91E-28	4.56E-10	0.549295775	0.114643043	3.760592956
316	ARID5B	C-T4	T cell	0.721194284	2.88E-11	1.46E-13	0.887323944	0.535695675	3.531518916
317	TOX	C-T4	T cell	0.714298821	3.15E-17	3.53E-10	0.633802817	0.206878583	3.580949587
318	COTL1	C-T4	T cell	0.710981365	1.93E-10	1.27E-11	0.85915493	0.526836894	3.145141274
319	AHI1	C-T4	T cell	0.710746501	1.48E-13	5.69E-09	0.661971831	0.294424179	3.537905009
320	ZNRF1	C-T4	T cell	0.709847412	9.40E-21	3.77E-09	0.549295775	0.149035956	3.465003943
321	CCL5	C-T5	T cell	0.861380032	1.93E-174	0	0.986567164	0.259090909	7.578018118
322	GZMA	C-T5	T cell	0.770638851	7.86E-107	4.94E-118	0.768656716	0.250757576	4.925277735
323	GZMK	C-T5	T cell	0.766081524	8.11E-113	1.76E-109	0.702985075	0.189393939	5.071121084
324	CST7	C-T5	T cell	0.715265717	3.46E-67	2.37E-64	0.691044776	0.311363636	3.634198028
325	CCL4	C-T5	T cell	0.711824966	1.19E-73	2.72E-68	0.626865672	0.209848485	4.437930287
326	RUNX3	C-T5	T cell	0.696399819	4.59E-48	1.04E-58	0.879104478	0.587878788	3.03688111
327	HLA-B	C-T5	T cell	0.685747399	6.79E-42	3.01E-35	1	0.99469697	0.461557049
328	HLA-C	C-T5	T cell	0.682965853	1.06E-40	5.45E-28	0.995522388	0.977272727	0.71195545
329	NKG7	C-T5	T cell	0.671627657	1.21E-56	4.75E-50	0.510447761	0.160606061	3.257840907
330	HCST	C-T5	T cell	0.659134441	2.85E-33	4.11E-27	0.740298507	0.524242424	2.156577982
331	CTSW	C-T5	T cell	0.655267413	2.43E-43	1.53E-38	0.510447761	0.211363636	2.676733826
332	CD8A	C-T5	T cell	0.654125396	1.60E-49	1.39E-41	0.453731343	0.146969697	2.907598802
333	CD74	C-T5	T cell	0.647872004	3.10E-27	3.80E-29	0.947761194	0.821969697	1.732742031
334	APOBEC3G	C-T5	T cell	0.643262664	3.98E-35	1.69E-31	0.519402985	0.252272727	2.407548235
335	KLRG1	C-T5	T cell	0.642964156	1.78E-48	8.49E-38	0.394029851	0.118181818	2.444163563
336	HLA-A	C-T5	T cell	0.638707598	4.20E-24	1.40E-19	0.998507463	0.985606061	0.501414842
337	SAMD3	C-T5	T cell	0.638075531	1.66E-38	1.24E-32	0.441791045	0.175757576	2.290248135
338	LITAF	C-T5	T cell	0.633146201	7.58E-24	3.49E-22	0.725373134	0.524242424	1.987909711
339	PIP4K2A	C-T5	T cell	0.632805857	3.50E-24	2.15E-22	0.697014925	0.487121212	1.957839352
340	ITGB2	C-T5	T cell	0.632288557	1.68E-22	7.40E-23	0.841791045	0.666666667	1.791497742
341	NKG7	C-T6	T cell	0.906302732	1.23E-44	1.08E-53	0.984375	0.254932503	7.477042498
342	GNLY	C-T6	T cell	0.903329439	1.41E-105	8.38E-25	0.84375	0.068016615	9.102663871
343	FGFBP2	C-T6	T cell	0.891010352	1.32E-188	1.45E-22	0.796875	0.021287643	7.579621709
344	EFHD2	C-T6	T cell	0.853237766	3.13E-30	9.66E-21	0.875	0.320353063	5.313149798
345	GZMH	C-T6	T cell	0.846739518	7.11E-48	3.92E-21	0.828125	0.145379024	6.391080714
346	ZEB2	C-T6	T cell	0.825330186	1.87E-34	1.22E-17	0.796875	0.200415369	5.422088439
347	CCL5	C-T6	T cell	0.82519227	3.10E-21	1.35E-127	1	0.487538941	5.960648657
348	GZMB	C-T6	T cell	0.812276902	1.54E-55	5.64E-16	0.71875	0.089304258	5.600802884
349	PRF1	C-T6	T cell	0.807129413	9.27E-38	9.02E-15	0.71875	0.150051921	5.219208661
350	CCL4	C-T6	T cell	0.804014148	2.31E-22	7.58E-19	0.875	0.332814123	6.320553202
351	GPR56	C-T6	T cell	0.795106438	1.30E-65	7.98E-14	0.640625	0.061266874	5.366661873
352	PLEK	C-T6	T cell	0.793110722	2.65E-34	6.38E-14	0.703125	0.152128764	4.965284003
353	HLA-B	C-T6	T cell	0.789354556	3.10E-15	3.55E-19	1	0.996365524	0.638213825
354	CX3CR1	C-T6	T cell	0.772269276	2.04E-105	3.85E-12	0.5625	0.022845275	5.022531606
355	TGFBR3	C-T6	T cell	0.77173384	9.48E-23	7.42E-12	0.703125	0.229491173	4.432195616
356	JUN	C-T6	T cell	0.770894178	1.13E-13	8.01E-13	0.953125	0.771547248	3.112254007
357	ITGAL	C-T6	T cell	0.768107477	1.30E-13	3.12E-13	0.9375	0.694184839	2.858896779
358	FLNA	C-T6	T cell	0.767851928	3.81E-14	4.84E-11	0.875	0.579958463	3.274033703
359	RUNX3	C-T6	T cell	0.767434125	1.31E-13	1.11E-27	0.984375	0.676012461	3.573904207
360	SYNE1	C-T6	T cell	0.753119321	5.09E-13	9.46E-10	0.84375	0.546209761	3.203845654
361	GAPDH	C-T7	T cell	0.899325883	1.34E-46	1.57E-39	0.963963964	0.695050559	4.088337038
362	CD74	C-T7	T cell	0.855489071	1.65E-36	4.36E-40	0.990990991	0.856838744	3.122433838
363	HLA-DRA	C-T7	T cell	0.852641092	3.68E-50	7.83E-39	0.891891892	0.301224055	5.787873753
364	HLA-DRB1	C-T7	T cell	0.849670852	8.07E-48	2.38E-36	0.882882883	0.320915381	5.809190377
365	CFL1	C-T7	T cell	0.842323164	6.61E-34	3.67E-25	0.990990991	0.937200639	1.680061471
366	ACTB	C-T7	T cell	0.834934722	1.56E-32	4.78E-53	1	0.931878659	2.047395443
367	PFN1	C-T7	T cell	0.832642914	3.46E-32	1.13E-28	0.981981982	0.85258116	2.352187729
368	HLA-DQA1	C-T7	T cell	0.831154198	8.00E-69	1.10E-29	0.774774775	0.14475785	5.676043008
369	CCL5	C-T7	T cell	0.826256539	5.18E-35	1.32E-29	0.900900901	0.480574774	5.406682322
370	COTL1	C-T7	T cell	0.814138247	9.13E-32	2.56E-29	0.90990991	0.516764236	4.153708487
371	HLA-DRB5	C-T7	T cell	0.811429311	8.98E-72	1.80E-24	0.693693694	0.114954763	5.705277114
372	HLA-DPA1	C-T7	T cell	0.806059386	1.69E-32	4.63E-25	0.855855856	0.428419372	4.64419124
373	APOBEC3G	C-T7	T cell	0.79828498	7.13E-36	4.82E-28	0.837837838	0.312932411	4.886418453
374	HLA-DPB1	C-T7	T cell	0.788257124	2.07E-30	2.36E-23	0.828828829	0.385843534	4.504583666
375	GZMA	C-T7	T cell	0.788022189	7.73E-30	7.55E-26	0.855855856	0.399680681	4.761671626
376	CORO1A	C-T7	T cell	0.783258778	1.38E-31	9.25E-25	0.81981982	0.332623736	4.468402214
377	NKG7	C-T7	T cell	0.782064928	1.02E-36	2.13E-26	0.801801802	0.24747206	5.228685144
378	TMSB4X	C-T7	T cell	0.776234723	1.20E-22	5.39E-27	1	0.983501863	0.986187746
379	LCP1	C-T7	T cell	0.775966227	1.10E-22	1.42E-20	0.972972973	0.837147419	2.176074824
380	CD8A	C-T7	T cell	0.773259689	3.66E-37	2.48E-22	0.738738739	0.221394359	5.053287702
